2018-11-08 12:31:49.3695 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 12:31:49.3883 | DEBUG | Logger | AddMethodologiesPageOpened_Get
2018-11-08 12:31:49.3883 | DEBUG | Logger | Passed
2018-11-08 12:31:50.2230 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 12:31:50.2230 | DEBUG | Logger | AddMethodology_Post
2018-11-08 12:31:50.2230 | DEBUG | Logger | Passed
2018-11-08 12:31:51.9172 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 12:31:51.9186 | DEBUG | Logger | AddMethodology_Post
2018-11-08 12:31:51.9186 | DEBUG | Logger | Failed
2018-11-08 12:31:53.0222 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 12:31:53.0222 | DEBUG | Logger | CreateProject_Post
2018-11-08 12:31:53.0301 | DEBUG | Logger | Failed
2018-11-08 12:31:54.1407 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 12:31:54.1407 | DEBUG | Logger | SelectReportTemplate
2018-11-08 12:31:54.1407 | DEBUG | Logger | Failed
2018-11-08 12:31:54.9399 | DEBUG | Logger | Deloitte.MultipleDataOverview
2018-11-08 12:31:54.9399 | DEBUG | Logger | Test_DataOverview_14_Requests
2018-11-08 12:31:54.9399 | DEBUG | Logger | Passed
2018-11-08 12:32:05.2016 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 12:32:05.2016 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 12:32:05.2016 | DEBUG | Logger | Passed
2018-11-08 12:32:15.7906 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 12:32:15.7936 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 12:32:15.7936 | DEBUG | Logger | Passed
2018-11-08 12:32:16.7813 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 12:32:16.7813 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 12:32:16.7813 | DEBUG | Logger | Passed
2018-11-08 12:32:18.1328 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 12:32:18.1328 | DEBUG | Logger | GetAllProjectsAndOneRandomId
2018-11-08 12:32:18.1328 | DEBUG | Logger | Passed
2018-11-08 12:32:18.5316 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 12:32:18.5316 | DEBUG | Logger | ConfigureRandomProject_Post
2018-11-08 12:32:18.5316 | DEBUG | Logger | Passed
2018-11-08 12:32:32.9152 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
2018-11-08 12:32:32.9162 | DEBUG | Logger | Test_CreateMethodology
2018-11-08 12:32:32.9162 | DEBUG | Logger | Failed
2018-11-08 12:32:33.3955 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
2018-11-08 12:32:33.3955 | DEBUG | Logger | AddingProjectWithMethFromTest1
2018-11-08 12:32:33.3955 | DEBUG | Logger | Failed
2018-11-08 12:33:14.2054 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:14.2054 | DEBUG | Logger | LoginWithInValidCredentials("qwerty","12345")
2018-11-08 12:33:14.2054 | DEBUG | Logger | Passed
2018-11-08 12:33:15.5992 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:15.5992 | DEBUG | Logger | LoginWithInValidCredentials("gp_integrator","!@#!$@!$#")
2018-11-08 12:33:15.6026 | DEBUG | Logger | Passed
2018-11-08 12:33:16.8372 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:16.8372 | DEBUG | Logger | LoginWithInValidCredentials("12345","Dummy#123")
2018-11-08 12:33:16.8372 | DEBUG | Logger | Passed
2018-11-08 12:33:18.0459 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:18.0459 | DEBUG | Logger | LoginWithInValidCredentials("   gp_integrator   ","Dummy#123")
2018-11-08 12:33:18.0459 | DEBUG | Logger | Passed
2018-11-08 12:33:19.3137 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:19.3137 | DEBUG | Logger | LoginWithInValidCredentials("gp_integrator   ","Dummy#123")
2018-11-08 12:33:19.3137 | DEBUG | Logger | Passed
2018-11-08 12:33:20.5841 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:20.5841 | DEBUG | Logger | LoginWithInValidCredentials("GP_INTEGRATORÊ","Dummy#123")
2018-11-08 12:33:20.5841 | DEBUG | Logger | Passed
2018-11-08 12:33:21.8148 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:21.8148 | DEBUG | Logger | LoginWithValidCredentials
2018-11-08 12:33:21.8148 | DEBUG | Logger | Passed
2018-11-08 12:33:22.7239 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 12:33:22.7298 | DEBUG | Logger | Test_NavigateToLink_LoginPageOpened
2018-11-08 12:33:22.7298 | DEBUG | Logger | Passed
2018-11-08 12:33:47.9955 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 12:33:47.9955 | DEBUG | Logger | AddingProjectAndCanceling
2018-11-08 12:33:47.9955 | DEBUG | Logger | Failed
2018-11-08 12:33:48.4256 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 12:33:48.4256 | DEBUG | Logger | AddingProjectStartDateError
2018-11-08 12:33:48.4256 | DEBUG | Logger | Failed
2018-11-08 12:37:34.3354 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 12:37:34.3537 | DEBUG | Logger | AddMethodology_Post
2018-11-08 12:37:34.3537 | DEBUG | Logger | Passed
2018-11-08 12:37:35.3674 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 12:37:35.3674 | DEBUG | Logger | CreateProject_Post
2018-11-08 12:37:35.3674 | DEBUG | Logger | Passed
2018-11-08 12:37:44.3880 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 12:37:44.4073 | DEBUG | Logger | SelectReportTemplate
2018-11-08 12:37:44.4073 | DEBUG | Logger | Failed
2018-11-08 12:41:57.4552 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
2018-11-08 12:41:57.4746 | DEBUG | Logger | AddingProjectWithMethFromTest1
2018-11-08 12:41:57.4746 | DEBUG | Logger | Failed
2018-11-08 12:42:45.3003 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
